Epoch 1, 1/200, training error: 0.249882, testing error: 0.238135
Epoch 2, 2/200, training error: 0.232525, testing error: 0.232830
Epoch 3, 3/200, training error: 0.226297, testing error: 0.223166
Epoch 4, 4/200, training error: 0.221556, testing error: 0.217589
Epoch 5, 5/200, training error: 0.217943, testing error: 0.217913
Epoch 6, 6/200, training error: 0.215596, testing error: 0.214534
Epoch 7, 7/200, training error: 0.213002, testing error: 0.208332
Epoch 8, 8/200, training error: 0.210890, testing error: 0.208392
Epoch 9, 9/200, training error: 0.209337, testing error: 0.208412
Epoch 10, 10/200, training error: 0.208181, testing error: 0.204286
Epoch 11, 11/200, training error: 0.206727, testing error: 0.202631
Epoch 12, 12/200, training error: 0.205469, testing error: 0.203959
Epoch 13, 13/200, training error: 0.205044, testing error: 0.202336
Epoch 14, 14/200, training error: 0.203914, testing error: 0.199127
Epoch 15, 15/200, training error: 0.203026, testing error: 0.199949
Epoch 16, 16/200, training error: 0.202468, testing error: 0.200602
Epoch 17, 17/200, training error: 0.202085, testing error: 0.197867
Epoch 18, 18/200, training error: 0.201351, testing error: 0.197322
Epoch 19, 19/200, training error: 0.200637, testing error: 0.198456
Epoch 20, 20/200, training error: 0.200549, testing error: 0.197055
Epoch 21, 21/200, training error: 0.199890, testing error: 0.195017
Epoch 22, 22/200, training error: 0.199353, testing error: 0.195877
Epoch 23, 23/200, training error: 0.199173, testing error: 0.196379
Epoch 24, 24/200, training error: 0.198829, testing error: 0.193959
Epoch 25, 25/200, training error: 0.198390, testing error: 0.194024
Epoch 26, 26/200, training error: 0.197959, testing error: 0.195377
Epoch 27, 27/200, training error: 0.197942, testing error: 0.193715
Epoch 28, 28/200, training error: 0.197504, testing error: 0.192422
Epoch 29, 29/200, training error: 0.197096, testing error: 0.193376
Epoch 30, 30/200, training error: 0.197054, testing error: 0.193517
Epoch 31, 31/200, training error: 0.196745, testing error: 0.191274
Epoch 32, 32/200, training error: 0.196451, testing error: 0.191966
Epoch 33, 33/200, training error: 0.196181, testing error: 0.193080
Epoch 34, 34/200, training error: 0.196184, testing error: 0.191535
Epoch 35, 35/200, training error: 0.195856, testing error: 0.190828
Epoch 36, 36/200, training error: 0.195497, testing error: 0.191462
Epoch 37, 37/200, training error: 0.195501, testing error: 0.191432
Epoch 38, 38/200, training error: 0.195270, testing error: 0.189659
Epoch 39, 39/200, training error: 0.194991, testing error: 0.190472
Epoch 40, 40/200, training error: 0.194893, testing error: 0.191355
Epoch 41, 41/200, training error: 0.194866, testing error: 0.189894
Epoch 42, 42/200, training error: 0.194603, testing error: 0.189578
Epoch 43, 43/200, training error: 0.194283, testing error: 0.190368
Epoch 44, 44/200, training error: 0.194394, testing error: 0.189684
Epoch 45, 45/200, training error: 0.194124, testing error: 0.188308
Epoch 46, 46/200, training error: 0.193866, testing error: 0.189284
Epoch 47, 47/200, training error: 0.193838, testing error: 0.190112
Epoch 48, 48/200, training error: 0.193833, testing error: 0.188733
Epoch 49, 49/200, training error: 0.193631, testing error: 0.188573
Epoch 50, 50/200, training error: 0.193323, testing error: 0.189565
Epoch 51, 51/200, training error: 0.193459, testing error: 0.188523
Epoch 52, 52/200, training error: 0.193193, testing error: 0.187458
Epoch 53, 53/200, training error: 0.192962, testing error: 0.188167
Epoch 54, 54/200, training error: 0.192997, testing error: 0.189020
Epoch 55, 55/200, training error: 0.192904, testing error: 0.187433
Epoch 56, 56/200, training error: 0.192751, testing error: 0.187740
Epoch 57, 57/200, training error: 0.192531, testing error: 0.188932
Epoch 58, 58/200, training error: 0.192621, testing error: 0.187459
Epoch 59, 59/200, training error: 0.192400, testing error: 0.186797
Epoch 60, 60/200, training error: 0.192208, testing error: 0.187527
Epoch 61, 61/200, training error: 0.192313, testing error: 0.187960
Epoch 62, 62/200, training error: 0.192165, testing error: 0.186201
Epoch 63, 63/200, training error: 0.192023, testing error: 0.187094
Epoch 64, 64/200, training error: 0.191895, testing error: 0.188112
Epoch 65, 65/200, training error: 0.191947, testing error: 0.186656
Epoch 66, 66/200, training error: 0.191798, testing error: 0.186363
Epoch 67, 67/200, training error: 0.191578, testing error: 0.186907
Epoch 68, 68/200, training error: 0.191639, testing error: 0.186991
Epoch 69, 69/200, training error: 0.191524, testing error: 0.185559
Epoch 70, 70/200, training error: 0.191343, testing error: 0.186550
Epoch 71, 71/200, training error: 0.191307, testing error: 0.187105
Epoch 72, 72/200, training error: 0.191323, testing error: 0.185938
Epoch 73, 73/200, training error: 0.191206, testing error: 0.185887
Epoch 74, 74/200, training error: 0.190974, testing error: 0.186319
Epoch 75, 75/200, training error: 0.191087, testing error: 0.186038
Epoch 76, 76/200, training error: 0.190905, testing error: 0.184727
Epoch 77, 77/200, training error: 0.190731, testing error: 0.185981
Epoch 78, 78/200, training error: 0.190737, testing error: 0.186402
Epoch 79, 79/200, training error: 0.190762, testing error: 0.185390
Epoch 80, 80/200, training error: 0.190668, testing error: 0.185453
Epoch 81, 81/200, training error: 0.190446, testing error: 0.185950
Epoch 82, 82/200, training error: 0.190601, testing error: 0.185361
Epoch 83, 83/200, training error: 0.190408, testing error: 0.184245
Epoch 84, 84/200, training error: 0.190236, testing error: 0.185267
Epoch 85, 85/200, training error: 0.190291, testing error: 0.185656
Epoch 86, 86/200, training error: 0.190266, testing error: 0.184825
Epoch 87, 87/200, training error: 0.190213, testing error: 0.184806
Epoch 88, 88/200, training error: 0.190014, testing error: 0.185805
Epoch 89, 89/200, training error: 0.190137, testing error: 0.184776
Epoch 90, 90/200, training error: 0.189965, testing error: 0.184014
Epoch 91, 91/200, training error: 0.189825, testing error: 0.184831
Epoch 92, 92/200, training error: 0.189933, testing error: 0.185064
Epoch 93, 93/200, training error: 0.189831, testing error: 0.183889
Epoch 94, 94/200, training error: 0.189764, testing error: 0.184482
Epoch 95, 95/200, training error: 0.189648, testing error: 0.185454
Epoch 96, 96/200, training error: 0.189729, testing error: 0.184147
Epoch 97, 97/200, training error: 0.189590, testing error: 0.183786
Epoch 98, 98/200, training error: 0.189438, testing error: 0.184659
Epoch 99, 99/200, training error: 0.189554, testing error: 0.184572
Epoch 100, 100/200, training error: 0.189446, testing error: 0.183329
Epoch 101, 101/200, training error: 0.189333, testing error: 0.184265
Epoch 102, 102/200, training error: 0.189312, testing error: 0.184876
Epoch 103, 103/200, training error: 0.189379, testing error: 0.183810
Epoch 104, 104/200, training error: 0.189275, testing error: 0.183727
Epoch 105, 105/200, training error: 0.189094, testing error: 0.184398
Epoch 106, 106/200, training error: 0.189232, testing error: 0.184149
Epoch 107, 107/200, training error: 0.189108, testing error: 0.182909
Epoch 108, 108/200, training error: 0.188966, testing error: 0.183997
Epoch 109, 109/200, training error: 0.189000, testing error: 0.184387
Epoch 110, 110/200, training error: 0.189050, testing error: 0.183631
Epoch 111, 111/200, training error: 0.188977, testing error: 0.183671
Epoch 112, 112/200, training error: 0.188793, testing error: 0.184135
Epoch 113, 113/200, training error: 0.188975, testing error: 0.183711
Epoch 114, 114/200, training error: 0.188786, testing error: 0.182615
Epoch 115, 115/200, training error: 0.188645, testing error: 0.183655
Epoch 116, 116/200, training error: 0.188724, testing error: 0.184056
Epoch 117, 117/200, training error: 0.188724, testing error: 0.183346
Epoch 118, 118/200, training error: 0.188695, testing error: 0.183392
Epoch 119, 119/200, training error: 0.188523, testing error: 0.184359
Epoch 120, 120/200, training error: 0.188675, testing error: 0.183350
Epoch 121, 121/200, training error: 0.188523, testing error: 0.182559
Epoch 122, 122/200, training error: 0.188398, testing error: 0.183394
Epoch 123, 123/200, training error: 0.188526, testing error: 0.183622
Epoch 124, 124/200, training error: 0.188443, testing error: 0.182776
Epoch 125, 125/200, training error: 0.188427, testing error: 0.183214
Epoch 126, 126/200, training error: 0.188322, testing error: 0.184240
Epoch 127, 127/200, training error: 0.188405, testing error: 0.182916
Epoch 128, 128/200, training error: 0.188267, testing error: 0.182435
Epoch 129, 129/200, training error: 0.188156, testing error: 0.183251
Epoch 130, 130/200, training error: 0.188307, testing error: 0.183314
Epoch 131, 131/200, training error: 0.188192, testing error: 0.182003
Epoch 132, 132/200, training error: 0.188133, testing error: 0.182992
Epoch 133, 133/200, training error: 0.188095, testing error: 0.183823
Epoch 134, 134/200, training error: 0.188160, testing error: 0.182605
Epoch 135, 135/200, training error: 0.188075, testing error: 0.182459
Epoch 136, 136/200, training error: 0.187930, testing error: 0.183263
Epoch 137, 137/200, training error: 0.188067, testing error: 0.182977
Epoch 138, 138/200, training error: 0.187955, testing error: 0.181763
Epoch 139, 139/200, training error: 0.187866, testing error: 0.182801
Epoch 140, 140/200, training error: 0.187915, testing error: 0.183394
Epoch 141, 141/200, training error: 0.187961, testing error: 0.182506
Epoch 142, 142/200, training error: 0.187894, testing error: 0.182507
Epoch 143, 143/200, training error: 0.187740, testing error: 0.183028
Epoch 144, 144/200, training error: 0.187917, testing error: 0.182612
Epoch 145, 145/200, training error: 0.187764, testing error: 0.181544
Epoch 146, 146/200, training error: 0.187631, testing error: 0.182577
Epoch 147, 147/200, training error: 0.187709, testing error: 0.183016
Epoch 148, 148/200, training error: 0.187733, testing error: 0.182424
Epoch 149, 149/200, training error: 0.187717, testing error: 0.182454
Epoch 150, 150/200, training error: 0.187535, testing error: 0.182963
Epoch 151, 151/200, training error: 0.187711, testing error: 0.182331
Epoch 152, 152/200, training error: 0.187574, testing error: 0.181520
Epoch 153, 153/200, training error: 0.187439, testing error: 0.182405
Epoch 154, 154/200, training error: 0.187550, testing error: 0.182619
Epoch 155, 155/200, training error: 0.187517, testing error: 0.182151
Epoch 156, 156/200, training error: 0.187519, testing error: 0.182192
Epoch 157, 157/200, training error: 0.187394, testing error: 0.183140
Epoch 158, 158/200, training error: 0.187496, testing error: 0.182170
Epoch 159, 159/200, training error: 0.187366, testing error: 0.181437
Epoch 160, 160/200, training error: 0.187271, testing error: 0.182308
Epoch 161, 161/200, training error: 0.187428, testing error: 0.182365
Epoch 162, 162/200, training error: 0.187309, testing error: 0.181290
Epoch 163, 163/200, training error: 0.187296, testing error: 0.182040
Epoch 164, 164/200, training error: 0.187239, testing error: 0.183033
Epoch 165, 165/200, training error: 0.187316, testing error: 0.181916
Epoch 166, 166/200, training error: 0.187227, testing error: 0.181535
Epoch 167, 167/200, training error: 0.187115, testing error: 0.182407
Epoch 168, 168/200, training error: 0.187233, testing error: 0.182109
Epoch 169, 169/200, training error: 0.187147, testing error: 0.180962
Epoch 170, 170/200, training error: 0.187078, testing error: 0.181890
Epoch 171, 171/200, training error: 0.187117, testing error: 0.182595
Epoch 172, 172/200, training error: 0.187169, testing error: 0.181760
Epoch 173, 173/200, training error: 0.187090, testing error: 0.181666
Epoch 174, 174/200, training error: 0.186954, testing error: 0.182314
Epoch 175, 175/200, training error: 0.187125, testing error: 0.181864
Epoch 176, 176/200, training error: 0.186978, testing error: 0.180795
Epoch 177, 177/200, training error: 0.186890, testing error: 0.181873
Epoch 178, 178/200, training error: 0.186962, testing error: 0.182300
Epoch 179, 179/200, training error: 0.187007, testing error: 0.181867
Epoch 180, 180/200, training error: 0.186962, testing error: 0.181836
Epoch 181, 181/200, training error: 0.186824, testing error: 0.182165
Epoch 182, 182/200, training error: 0.186998, testing error: 0.181821
Epoch 183, 183/200, training error: 0.186865, testing error: 0.180868
Epoch 184, 184/200, training error: 0.186746, testing error: 0.181936
Epoch 185, 185/200, training error: 0.186848, testing error: 0.182138
Epoch 186, 186/200, training error: 0.186829, testing error: 0.181799
Epoch 187, 187/200, training error: 0.186844, testing error: 0.181607
Epoch 188, 188/200, training error: 0.186699, testing error: 0.182492
Epoch 189, 189/200, training error: 0.186829, testing error: 0.181726
Epoch 190, 190/200, training error: 0.186719, testing error: 0.180956
Epoch 191, 191/200, training error: 0.186632, testing error: 0.181906
Epoch 192, 192/200, training error: 0.186776, testing error: 0.182021
Epoch 193, 193/200, training error: 0.186687, testing error: 0.181079
Epoch 194, 194/200, training error: 0.186690, testing error: 0.181615
Epoch 195, 195/200, training error: 0.186626, testing error: 0.182589
Epoch 196, 196/200, training error: 0.186708, testing error: 0.181535
Epoch 197, 197/200, training error: 0.186608, testing error: 0.180990
Epoch 198, 198/200, training error: 0.186517, testing error: 0.181918
Epoch 199, 199/200, training error: 0.186651, testing error: 0.181855
Epoch 200, 200/200, training error: 0.186561, testing error: 0.180467
