Epoch 1, 1/100, training error: 0.246454, testing error: 0.245463
Epoch 2, 2/100, training error: 0.237718, testing error: 0.244210
Epoch 3, 3/100, training error: 0.235167, testing error: 0.242622
Epoch 4, 4/100, training error: 0.233481, testing error: 0.241463
Epoch 5, 5/100, training error: 0.232334, testing error: 0.239315
Epoch 6, 6/100, training error: 0.231222, testing error: 0.236002
Epoch 7, 7/100, training error: 0.229797, testing error: 0.232202
Epoch 8, 8/100, training error: 0.227537, testing error: 0.229661
Epoch 9, 9/100, training error: 0.224093, testing error: 0.224803
Epoch 10, 10/100, training error: 0.219794, testing error: 0.220530
Epoch 11, 11/100, training error: 0.215701, testing error: 0.216708
Epoch 12, 12/100, training error: 0.212582, testing error: 0.212896
Epoch 13, 13/100, training error: 0.209981, testing error: 0.208392
Epoch 14, 14/100, training error: 0.207755, testing error: 0.205369
Epoch 15, 15/100, training error: 0.205808, testing error: 0.203918
Epoch 16, 16/100, training error: 0.204077, testing error: 0.204002
Epoch 17, 17/100, training error: 0.202908, testing error: 0.202659
Epoch 18, 18/100, training error: 0.201266, testing error: 0.200462
Epoch 19, 19/100, training error: 0.200145, testing error: 0.198899
Epoch 20, 20/100, training error: 0.199310, testing error: 0.197401
Epoch 21, 21/100, training error: 0.198425, testing error: 0.196891
Epoch 22, 22/100, training error: 0.197801, testing error: 0.196962
Epoch 23, 23/100, training error: 0.196549, testing error: 0.197278
Epoch 24, 24/100, training error: 0.195897, testing error: 0.196280
Epoch 25, 25/100, training error: 0.196015, testing error: 0.195058
Epoch 26, 26/100, training error: 0.195234, testing error: 0.192702
Epoch 27, 27/100, training error: 0.194100, testing error: 0.192542
Epoch 28, 28/100, training error: 0.193928, testing error: 0.193342
Epoch 29, 29/100, training error: 0.192890, testing error: 0.192970
Epoch 30, 30/100, training error: 0.197284, testing error: 0.196512
Epoch 31, 31/100, training error: 0.194891, testing error: 0.193025
Epoch 32, 32/100, training error: 0.193818, testing error: 0.192250
Epoch 33, 33/100, training error: 0.193981, testing error: 0.208757
Epoch 34, 34/100, training error: 0.194063, testing error: 0.192912
Epoch 35, 35/100, training error: 0.192825, testing error: 0.193041
Epoch 36, 36/100, training error: 0.192131, testing error: 0.193261
Epoch 37, 37/100, training error: 0.191674, testing error: 0.191192
Epoch 38, 38/100, training error: 0.196956, testing error: 0.195418
Epoch 39, 39/100, training error: 0.193091, testing error: 0.188972
Epoch 40, 40/100, training error: 0.191275, testing error: 0.190222
Epoch 41, 41/100, training error: 0.190661, testing error: 0.189594
Epoch 42, 42/100, training error: 0.190830, testing error: 0.209662
Epoch 43, 43/100, training error: 0.196393, testing error: 0.195940
Epoch 44, 44/100, training error: 0.193050, testing error: 0.193647
Epoch 45, 45/100, training error: 0.209530, testing error: 0.211011
Epoch 46, 46/100, training error: 0.201810, testing error: 0.197181
Epoch 47, 47/100, training error: 0.194912, testing error: 0.195202
Epoch 48, 48/100, training error: 0.194619, testing error: 0.195889
Epoch 49, 49/100, training error: 0.192961, testing error: 0.211826
Epoch 50, 50/100, training error: 0.192777, testing error: 0.191766
Epoch 51, 51/100, training error: 0.190926, testing error: 0.190392
Epoch 52, 52/100, training error: 0.190546, testing error: 0.190738
Epoch 53, 53/100, training error: 0.190206, testing error: 0.190385
Epoch 54, 54/100, training error: 0.191013, testing error: 0.192970
Epoch 55, 55/100, training error: 0.190121, testing error: 0.191124
Epoch 56, 56/100, training error: 0.195559, testing error: 0.197597
Epoch 57, 57/100, training error: 0.196513, testing error: 0.196081
Epoch 58, 58/100, training error: 0.193182, testing error: 0.193423
Epoch 59, 59/100, training error: 0.191661, testing error: 0.192005
Epoch 60, 60/100, training error: 0.190640, testing error: 0.191994
Epoch 61, 61/100, training error: 0.190863, testing error: 0.192616
Epoch 62, 62/100, training error: 0.189666, testing error: 0.189035
Epoch 63, 63/100, training error: 0.188797, testing error: 0.191891
Epoch 64, 64/100, training error: 0.209712, testing error: 0.252275
Epoch 65, 65/100, training error: 0.238845, testing error: 0.241720
Epoch 66, 66/100, training error: 0.233096, testing error: 0.233226
Epoch 67, 67/100, training error: 0.226955, testing error: 0.226414
Epoch 68, 68/100, training error: 0.220747, testing error: 0.219991
Epoch 69, 69/100, training error: 0.214770, testing error: 0.213455
Epoch 70, 70/100, training error: 0.206962, testing error: 0.203067
Epoch 71, 71/100, training error: 0.199309, testing error: 0.196550
Epoch 72, 72/100, training error: 0.227563, testing error: 0.219095
Epoch 73, 73/100, training error: 0.210550, testing error: 0.209593
Epoch 74, 74/100, training error: 0.204143, testing error: 0.204596
Epoch 75, 75/100, training error: 0.201234, testing error: 0.202587
Epoch 76, 76/100, training error: 0.198867, testing error: 0.201249
Epoch 77, 77/100, training error: 0.196914, testing error: 0.198746
Epoch 78, 78/100, training error: 0.196803, testing error: 0.198832
Epoch 79, 79/100, training error: 0.195631, testing error: 0.200146
Epoch 80, 80/100, training error: 0.194485, testing error: 0.197315
Epoch 81, 81/100, training error: 0.194086, testing error: 0.195028
Epoch 82, 82/100, training error: 0.192457, testing error: 0.194038
Epoch 83, 83/100, training error: 0.192418, testing error: 0.192833
Epoch 84, 84/100, training error: 0.192545, testing error: 0.196042
Epoch 85, 85/100, training error: 0.192988, testing error: 0.196819
Epoch 86, 86/100, training error: 0.192591, testing error: 0.195682
Epoch 87, 87/100, training error: 0.192356, testing error: 0.194968
Epoch 88, 88/100, training error: 0.192036, testing error: 0.194251
Epoch 89, 89/100, training error: 0.194002, testing error: 0.194365
Epoch 90, 90/100, training error: 0.191226, testing error: 0.193091
Epoch 91, 91/100, training error: 0.190628, testing error: 0.193643
Epoch 92, 92/100, training error: 0.197721, testing error: 0.204653
